dst_addr	prb_id	avg	ASN	Country	Name	NumIPs	type
206.144.240.4	6584	105.5120586667	AS35277	RO	LLHOST INC. SRL	1536	hosting
194.156.155.241	6584	34.0483243333	AS35277	RO	LLHOST INC. SRL	1536	hosting
208.86.250.253	6584	100.9841993333	AS35277	RO	LLHOST INC. SRL	1536	hosting
213.9.97.164	6584	37.1885836667	AS35277	RO	LLHOST INC. SRL	1536	hosting
103.151.64.31	6584	323.466239	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.97.160.7	6584	6.5278553333	AS35277	RO	LLHOST INC. SRL	1536	hosting
192.134.1.25	6584	9.7679146667	AS35277	RO	LLHOST INC. SRL	1536	hosting
103.62.48.193	6584	184.4944286667	AS35277	RO	LLHOST INC. SRL	1536	hosting
13.52.39.20	6584	149.3795083333	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.92.0.41	6584	46.358729	AS35277	RO	LLHOST INC. SRL	1536	hosting
192.5.5.241	6584	44.0917396667	AS35277	RO	LLHOST INC. SRL	1536	hosting
200.132.1.32	6584	227.587683	AS35277	RO	LLHOST INC. SRL	1536	hosting
199.119.65.55	6584	95.0057076667	AS35277	RO	LLHOST INC. SRL	1536	hosting
193.46.104.18	6584	36.163099	AS35277	RO	LLHOST INC. SRL	1536	hosting
129.122.18.18	6584	127.124361	AS35277	RO	LLHOST INC. SRL	1536	hosting
213.173.161.11	6584	16.678317	AS35277	RO	LLHOST INC. SRL	1536	hosting
155.254.2.42	6584	150.7654593333	AS35277	RO	LLHOST INC. SRL	1536	hosting
198.41.0.4	6584	19.6492713333	AS35277	RO	LLHOST INC. SRL	1536	hosting
152.195.186.35	6584	247.1490393333	AS35277	RO	LLHOST INC. SRL	1536	hosting
204.87.183.11	6584	173.9142873333	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.173.128.71	6584	39.4436216667	AS35277	RO	LLHOST INC. SRL	1536	hosting
188.172.218.22	6584	21.0473976667	AS35277	RO	LLHOST INC. SRL	1536	hosting
147.84.200.125	6584	33.7146693333	AS35277	RO	LLHOST INC. SRL	1536	hosting
178.17.170.109	6584	54.1098746667	AS35277	RO	LLHOST INC. SRL	1536	hosting
193.1.201.140	6584	14.2462136667	AS35277	RO	LLHOST INC. SRL	1536	hosting
196.49.84.188	6584	139.0799943333	AS35277	RO	LLHOST INC. SRL	1536	hosting
203.119.111.139	6584	310.882483	AS35277	RO	LLHOST INC. SRL	1536	hosting
109.171.136.4	6584	73.1548123333	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.157.231.49	6584	36.666893	AS35277	RO	LLHOST INC. SRL	1536	hosting
203.119.15.254	6584	164.002421	AS35277	RO	LLHOST INC. SRL	1536	hosting
101.53.31.6	6584	273.30138	AS35277	RO	LLHOST INC. SRL	1536	hosting
178.255.156.202	6584	42.0383156667	AS35277	RO	LLHOST INC. SRL	1536	hosting
143.129.80.132	6584	6.8267863333	AS35277	RO	LLHOST INC. SRL	1536	hosting
185.5.201.10	6584	34.1001896667	AS35277	RO	LLHOST INC. SRL	1536	hosting
153.92.43.249	6584	6.744757	AS35277	RO	LLHOST INC. SRL	1536	hosting
